Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
EDFS 203," Soc, Hst & Phil Found of Educ",90405,3,25,19,6, 12:00, 12:50, M W F, REMOTE, COURSE, MacKinnon C," ARTE, EDML, ELK6, MUSE, PE, SEE, SEL,  SEM, SES, SESS majors only; Minimum  Junior standing; Teacher Licensing  Program candidates only",FOUNDATIONS,Fall 2020
EDFS 302, Philosophy of Education,91117,3,25,8,17, 04:05, 07:05, M, REMOTE, COURSE, Mayo C, Open to Degree and CDE students,FOUNDATIONS,Fall 2020
EDFS 303, Ethics Helping Relationships,11187,3,16,15,1, 04:05, 07:05, W, WATERM,401, Nash R,,FOUNDATIONS,Spring 2020
EDFS 304," Religion,Spirituality & Ed",90441,3,18,16,2, 04:35, 07:35, T, L/L-A, A161, Nash R, Open to Degree and CDE students,FOUNDATIONS,Fall 2019
EDFS 309, Schol Pers Narr Writing:ED&SS,14928,3,20,19,1, 04:05, 07:05, M, WATERM,457, Nash R,,FOUNDATIONS,Spring 2020
EDFS 314, Modes of Inquiry,15363,3,20,22,-2, 04:05, 07:05, W, WATERM,539, Clark-Keefe K,,FOUNDATIONS,Spring 2020
EDFS 320," Technology, Schooling, Society",15093,3,20,13,7, TBA, TBA,, ONLINE, COURSE, MacKinnon C, Graduate level course; Open to Degree  and CDE students,FOUNDATIONS,Spring 2018
EDFS 322, D1:Chall Multicult/Ed&Soc Inst,15665,3,20,13,7, 04:35, 07:35, T, OMANEX, A200, Paz-Amor W,,FOUNDATIONS,Spring 2017
EDFS 348, Analyze&Write Qualitative Rsch,12537,3,20,8,12, 04:05, 07:05, W, WATERM,457, Clark-Keefe," Prereqs: EDFS 347 or EDLP 409, or  Instructor Permission",FOUNDATIONS,Spring 2019
EDFS 353, Program Evaluation&Assessment,15182,3,15,8,7, 04:35, 07:35, R, WATERM, 539D, Kolbe T,,FOUNDATIONS,Spring 2016
EDFS 355, Appl Data Analysis for Dec Mkg,95277,3,18,9,9, 04:35, 07:35, R, WATERM,402, Kolbe T,,FOUNDATIONS,Fall 2017
EDFS 396, Intro to Interdisciplinarity,96265,3,25,11,14, 05:05, 08:05, W, REMOTE, COURSE, Mayo C, Open to Degree and CDE Students,FOUNDATIONS,Fall 2020
EDFS 455, Soc Process & Institutionl Chg,90410,3,20,5,15, 04:05, 07:05, W, WATERM,458, Clark-Keefe K, ELPS Doctoral students only,FOUNDATIONS,Fall 2020
EDHE 046, Personal Health,12978,3,30,30,0, TBA, TBA,, ONLINE, COURSE, Elkin S,,HEALTH--EDUCATION,Spring 2018
EDHE 050, D2:Bullying & Discrimination,92766,3,97,11, 76*XL, 04:35  TBA, 07:35  TBA, R, ML SCI  ONLINE, 235  COURSE, Garnett B, Degree students only even after level  restrictions removed; CDE students  register for EDHE 050 ZRA; Course will  meet 4-6 times online; Dates TBA by  instructor; Cross listed with EDSP 193  A,HEALTH--EDUCATION,Fall 2020
EDHE 146, Personal Health,93582,3,99,85,14, TBA, TBA,, ONLINE, COURSE, Garnett B,,HEALTH--AND--SOCIETY,Fall 2020
EDHE 150, Bullying & Youth Educ,12078,3,30,20,10, 04:35, 07:35, T, PERKIN,102, Garnett B, Open to both CDE and Degree Students;  no prereqs,HEALTH--EDUCATION,Spring 2016
EDHE 200, Exploring Eating Disorders,15353,3,15,6, 9*XL, 04:05, 07:05, M, ROWELL,110, Busier H," Crosslisted with EDSP 200 A, EDFS 200 B,  GSWS 296 B",HEALTH--EDUCATION,Spring 2018
EDHI 096, CL:Leadership & Social Change,94082,1,20,17,3, 04:25, 05:40, T, L/L CM,216, Garvey J, Instructor permission required,HIGHER--EDUCATION,Fall 2019
EDHI 196, The Ivory Tower:History of UVM,15482,3,25,6,19, 04:25, 05:40, T R, COHEN,107, Eagan H,,HIGHER--EDUCATION,Spring 2020
EDHI 200, Stdnt Activism & Solidarity HE,15953,3,16,5,11, 04:05, 07:05, W, MANN,104, Kanagala V, Open to Undergraduates and Masters  students,HIGHER--EDUCATION,Spring 2018
EDHI 202, Human Rel in Univ Res Halls,91844,1,24,1,23, 04:35, 07:35, T, L/L-B, B102, Baker E, Current UVM Resident Advisors ONLY,HIGHER--EDUCATION,Fall 2016
EDHI 213," Ldr:Theories,Styles&Realities",14020,2,22,21,1, 04:35, 07:35, T, TERRIL,207, Monteaux K,,HIGHER--EDUCATION,Spring 2017
EDHI 296, Legal Issues,95296,3,19,10,9, 01:15, 04:15, R, MANN,211, Ballysingh T,,HIGHER--EDUCATION,Fall 2019
EDHI 300, Prgrm Eval & Assess in HESA,94530,3,25,13, 6*XL, 04:05, 07:05, M, REMOTE, COURSE, Long L, Graduate standing or instructor  permission; Degree students only even  after level restrictions removed; CDE  students register for EDHI 300 ZRA,HIGHER--EDUCATION,Fall 2020
EDHI 361, The (Un)Changing Academy,13262,3,25,15,10, 04:05, 07:05, W, MANN,211, Hunter D, Graduate standing or instructor  permission Open to Degree and CDE  students,HIGHER--EDUCATION,Spring 2020
EDHI 362, The American College Student,13263,3,25,22,3, 04:35, 07:35, R, MANN,211, Garvey J, Graduate standing or instructor  permission Open to Degree and CDE  students,HIGHER--EDUCATION,Spring 2020
EDHI 364, Helping Skills in Stdn Affairs,93075,3,25,14, 10*XL, 04:05, 07:05, W, REMOTE, COURSE, Hunter D, Graduate standing or instructor  permission; Degree students only even  after level restrictions removed; CDE  students register for EDHI 364 ZRA,HIGHER--EDUCATION,Fall 2020
EDHI 375, Social Justice/Inclusion in HE,92967,3,25,15, 2*XL, 04:05, 07:05, M, REMOTE, COURSE, Ballysingh T, Graduate standing or instructor  permission; Degree students only even  after level restrictions removed; CDE  students register for EDHI 375 ZRA,HIGHER--EDUCATION,Fall 2020
EDHI 376, Student Development Theory,95935,3,25,22, 0*XL, 01:15, 04:15, R, REMOTE, COURSE, Garvey J, Graduate standing or instructor  permission; Degree students only even  after level restrictions removed; CDE  students register for EDHI 376 ZRA,HIGHER--EDUCATION,Fall 2020
EDHI 380, Student Development Theory,91302,3,20,11,9, 04:05, 07:05, W, MANN, 102C, Garvey J, Graduate standing,HIGHER--EDUCATION,Fall 2019
EDHI 383, Higher Ed Admin & Organization,11041,3,25,17,8, 04:05, 07:05, W, DELEHA,219, Ballysingh T, Graduate standing or instructor  permission Open to Degree and CDE  students,HIGHER--EDUCATION,Spring 2020
EDHI 385, Foundations & Functions of CSP,90126,3,25,13, 10*XL, 04:35, 07:35, R, WATERM,427, Spencer T, Graduate standing or instructor  permission; Degree students only even  after level restrictions removed; CDE  students register for EDHI 385 ZRA,HIGHER--EDUCATION,Fall 2020
EDHI 393, Legal Issues,96073,3,25,17,8, 04:05, 07:05, W, REMOTE, COURSE, Ballysingh T, Graduate standing only,HIGHER--EDUCATION,Fall 2020
EDHI 395, Practica Returning HESA stdnts,93535,2,25,13, 12*XL, 04:35, 07:35, T, ONCMP, SEE NOTES, Johnson J, HESA students only; Contact instructor  for location,HIGHER--EDUCATION,Fall 2020
EDHI 396," Capstone:Eth,Val&Mean/High Ed",13279,3,25,11,14, 04:05, 07:05, M, MANN,211, Hunter D, HESA Students only,HIGHER--EDUCATION,Spring 2020
EDHI 397, Problems in Education,15460,1,25,17,8, 04:05, 07:05, M, ONCMP, SEE NOTES, Stevens A  Russell J, Offered five Mondays in spring semester;  Contact instructors for exact dates;  Location: L/L 306; Open to Degree and  CDE students; Graduate standing or  instructor perm,HIGHER--EDUCATION,Spring 2020
EDLI 272, Manage Schl Library Media Ctrs,95593,3,20,26,-6, 11:00  11:00  11:00, 03:00  03:00  03:00, S  S  S, LAFAYE  LAFAYE  LAFAYE, L400  L400  L400, Kaplan J," Open to degree and CDE Students; Hybrid  delivery; Will meet at UVM on 9/9,9/30,  12/2 from 11 am-3pm",LIBRARY--SCIENCE,Fall 2017
EDLI 273, Organizing Schl Libr Media Ctr,14974,3,20,19,1, TBA  11:00  11:00, TBA  03:00  03:00,  S  S, ONLINE  LAFAYE  LAFAYE, SEE NOTES  L400  L400, Kaplan J  Harris A," Open to both CDE and Degree students;  Hybrid delivery Online and In class;  Meeting dates are 1/20/18, 2/3/18  (Lafayette L400), and 5/5/18 11:00-3:00  (Waterman 426); Adobe Connect  synchronous sessions: 2/17/18; 3/10/18;  4/7/18: 10am-12pm",LIBRARY--SCIENCE,Spring 2018
EDLI 274, Design Instr Sch Lbr Media Ctr,15217,3,20,25,-5, TBA  10:00  10:00  10:00  10:00, TBA  03:00  03:00  03:00  03:00,  S  S  S  S, OFFCMP  LAFAYE  LAFAYE  LAFAYE  LAFAYE, SEE NOTES  L408  L408  L408  L408, Phillips J  Allison M," Open to both CDE and Degree Students;  Hybrid delivery; Meeting dates & times:  1/28, 2/18, 3/11, 4/1 (10am – 3pm);  Locations: Four school libraries from  around the state, TBD; Blackboard  (online, asynchronous): 1/29 - 5/5  Instructors: Meg Allison: mallison@u32.  org and Jeanie Phillips: jeanie.  phillips@trsu.org",LIBRARY--SCIENCE,Spring 2017
EDLI 276, Information Sources & Services,95172,3,20,25,-5, TBA  TBA, TBA  TBA,, ONLINE  ONCMP, SEE NOTES  SEE NOTES, McSweeney L," Open for Degree and CDE students;  Hybrid delivery; Will meet at UVM on  Saturday, Sept 10th from 10:00-4:00,  and Saturday, December 3rd from  10:00-4:00",LIBRARY--SCIENCE,Fall 2016
EDLI 372, Manage Schl Library Media Ctrs,95205,3,20,29,-9, TBA  10:00, TBA  03:00,  S, ONLINE  WATERM, SEE NOTES  426, Sofferman R  Kaplan J," Open to Graduate and CDE students; To  be taught by Rebecca Sofferman, Hybrid  delivery; Will meet at UVM on these  Saturdays 9/7, 9/28, 11/2, 12/7",LIBRARY--SCIENCE,Fall 2019
EDLI 373, Dev/Org Schl Libr Collections,15144,3,20,20,0, TBA  10:00, TBA  03:00,  S, ONLINE  WATERM, COURSE  426, Carpenter F  Dabritz C," Course meets in person once a month on  Saturday from 11am-3pm (1/18, 2/1, 3/21,  and 5/2) in 426 Waterman; The remainder  of the course held online; Open to  Graduate Degree and CDE Students",LIBRARY--SCIENCE,Spring 2020
EDLI 374, Design Learning in Libr/Med Ct,15284,3,20,24,-4, 10:00  TBA, 03:00  TBA, S, WATERM  ONLINE, 426  COURSE, Langella P  Arapakos E, Course meets in person once a month on  Saturdays from 10:00 a.m. to 3:00 p.m.  The remainder of the course held online.  Open to Graduate Degree and CDE  students,LIBRARY--SCIENCE,Spring 2019
EDLI 376, Information Sources & Services,95500,3,19,18,1, 10:00, 03:00, S, REMOTE, COURSE, McSweeney L, Open to Degree and CDE students,LIBRARY--SCIENCE,Fall 2020
EDLP 196, Sports Leadership,15151,3,25,14,11, 04:35, 07:35, T, WATERM,400, Lifschutz L,,LEADERSHIP--AND--POLICY--STUDIES,Spring 2020
EDLP 300, Leading Learning Organizations,91273,3,25,8, 14*XL, TBA, TBA,, ONLINE, COURSE, Killeen K," Degree students only even after level  restrictions removed; CDE students  register for EDLP 300 OLR; Weekly class  sessions will utilize asynchronous  modules for individual and small group  work, as well as synchronous approaches  on Thursday evenings. Synchronous  session will taper throughout the  semester. Virtual classroom will  utilize Blackboard, Screencast-O-Matic,  and Flipgrid technology. Please contact  Kieran.Killeen@uvm.edu for more  information.",LEADERSHIP--AND--POLICY--STUDIES,Fall 2020
EDLP 310, Effecting & Managing Change,14021,3,25,24,1, 04:35, 07:35, R, COHEN,208, Killeen K, Open to Degree and CDE students,LEADERSHIP--AND--POLICY--STUDIES,Spring 2020
EDLP 320, Collaborative Consultation,93369,3,12,8, -3*XL, 04:35  TBA, 07:35  TBA, T, REMOTE  ONLINE, COURSE  COURSE, Swindlehurst K, Degree students only even after level  restrictions removed; CDE students  register for EDLP 320 ZRA; Cross-listed  with EDSP 387 A and EDSP 387 ZRA,LEADERSHIP--AND--POLICY--STUDIES,Fall 2020
EDLP 333, Education Finance & Policy,95263,3,15,7,8, 04:35, 07:35, R, WATERM,403, Killeen K, Open to degree and CDE students,LEADERSHIP--AND--POLICY--STUDIES,Fall 2016
EDLP 336, Curr Mgmt in Ed & Soc Srv Org,96264,3,25,15,10, TBA, TBA,, ONLINE, COURSE, Jones A," Weekly class sessions will utilize  asynchronous modules for individual and  small group work, as well as  synchronous approaches on Monday  evenings: 4:05-7:05pm. Synchronous  session will taper throughout the  semester. Virtual classroom will  utilize Blackboard, Screencast-O-Matic,  and Microsoft Teams. Please contact  abjones@uvm.edu for more information.",LEADERSHIP--AND--POLICY--STUDIES,Fall 2020
EDLP 365, Policy to Practice,95545,3,25,15,10, 04:35  TBA, 07:35  TBA, R, REMOTE  ONLINE, COURSE  COURSE, Kolbe T, Jr/Sr Undergrads with Instructor  Permission,LEADERSHIP--AND--POLICY--STUDIES,Fall 2020
EDLP 372, Leadership&Creative Imaginatn,10434,3,25,15,10, 04:05  TBA, 07:05  TBA, F, MANN  ONLINE, 211  COURSE, Hunter D," Open to degree and CDE students; Course  has online component, will not meet on  campus during selected weeks - dates  TBA.",LEADERSHIP--AND--POLICY--STUDIES,Spring 2019
EDLP 380, Inequality In Education,14097,3,25,24,1, 04:35, 07:35, T, WATERM,539, Clark-Keefe K, Open to Degree and CDE students,LEADERSHIP--AND--POLICY--STUDIES,Spring 2020
EDLP 429, Adv Quantitative Rsch Methods,97062,3,16,10,6, 04:35, 07:35, R, REMOTE, COURSE, Hurley S,,LEADERSHIP--AND--POLICY--STUDIES,Fall 2020
EDLP 431, Adv Sem Organizational Ldrshp,90067,3,19,16,3, 04:05, 07:05, M, REMOTE, COURSE, Hunter D, EdD or PhD students only,LEADERSHIP--AND--POLICY--STUDIES,Fall 2020
EDLP 437, Sem on Educational Policy,10404,3,16,12,4, 04:35, 07:35, T, WATERM,403, Ballysingh T, Leadership EdD or PhD students only,LEADERSHIP--AND--POLICY--STUDIES,Spring 2020
EDLP 439, Hierarchical Linear Modeling,95437,3,10,7,3, 04:35, 07:35, R, WATERM,403, Hurley S,,LEADERSHIP--AND--POLICY--STUDIES,Fall 2019
EDLP 449, Dissertation Writing Seminar,10996,3,12,10,2, 04:05, 07:05, M, WATERM, 539D, Clark-Keefe K, Graduate students only; Instructor  permission required,LEADERSHIP--AND--POLICY--STUDIES,Spring 2020
EDLT 222, Cltvate Chil Lit in El/Mid Sch,95503,3,15,11,4, 04:05  TBA, 07:05  TBA, M, WATERM  ONLINE, 458  COURSE, Revelle K," Class meets on four Mondays from  4:05-7:05 pm, dates TBD; The remainder  of the course held online",LITERACY,Fall 2020
EDLT 236, Multicultural Children's Lit,15274,3,15,11,4, 04:35  TBA, 07:35  TBA, R, WATERM  ONLINE, 403  COURSE, Halladay P," CDE, Senior, and Graduate students only;  Course has online component, will not  meet on campus during selected  weeks--dates TBA.",LITERACY,Spring 2019
EDLT 376, Clin/Tut Appr for Lit Intrvntn,15045,3,15,7,8, 05:05  TBA, 08:05  TBA, M, WATERM  ONLINE, 400  COURSE, Richardson A," Field-based practicum. Includes weekly  online work with approximately 4  on-campus sessions, dates TBD",LITERACY,Spring 2020
EDLT 379, Seminar in Reading Instruction,95211,3,15,9,6, 04:05  TBA, 07:05  TBA, M, L/L CM  ONLINE, 302  COURSE, Halladay J, Open to Graduate and CDE Students;  Class will meet 4 or 5 times on campus  and the rest of the work will be  completed online; Location/time/day TBA,LITERACY,Fall 2019
EDML 024, Foundations of Middle Level Ed,95022,3,25,25,0, 10:05, 11:20, T R, LAFAYE, L308, Reissig K,,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2019
EDML 056, Teachers & Teaching Process,95460,3,25,18,7, 10:05, 11:20, T R, REMOTE, COURSE, Reissig K,,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2020
EDML 171, Mid Level Teaching Practicum I,12492,3,16,13,3, 08:00, 03:00, F, ONCMP, SEE NOTES, Reissig K,,MIDDLE--LEVEL--TEACHER--EDUCATION,Spring 2020
EDML 177, Young Adolescent ELA Methods,92513,3,9,15,-6, 04:05, 07:05, M, REMOTE, COURSE, DeMink-Carthew," Open to undergraduate EDML majors,  graduate C&I majors, or CDE students",MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2020
EDML 200," Pers, Tech & Early Adol",15850,3,50,10,40, TBA  TBA, TBA  TBA,, ONLINE  ONCMP, COURSE  SEE NOTES, Bishop P, Open to Tarrant Institute partner  educators. Grad and Continuing Ed.  Instructor permission required,MIDDLE--LEVEL--TEACHER--EDUCATION,Spring 2017
EDML 207, Adoles Lrng&Beh&Cog Perspect,96257,3,12,9,3, 04:05, 07:05,, ONCMP, SEE NOTES, Bishop P, MAT Students Only,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2016
EDML 260, Teaching Young Adolescents,90008, 3.00-6.00,18,16,2, 01:15, 04:15, T R, REMOTE, COURSE, Reissig K, Co-req: EDML 261; Undergraduate EDML  majors with minimum Junior standing or  Graduate CI majors; 3-6 credits,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2020
EDML 261, Mid Lev Teaching Practicum II,90009,3,10,9,1, 08:00  10:05, 03:00  11:20, M W  T, OFFCMP  WATERM, SEE NOTES  539, Reissig K, Co-req: EDML 260; Off-campus course;  Undergrad EDML majors with Senior  standing only; Lab fee: $40.00,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2020
EDML 270, Middle School Org & Pedagogy,12397, 3.00-6.00,20,18,2, 04:05, 07:05, M, WATERM,539, Stokes T, Variable credits 3-6; Course should be  taken for 6 credits if you are  enrolling in this course for science  methods credit,MIDDLE--LEVEL--TEACHER--EDUCATION,Spring 2020
EDML 285, Middle Level Student Teaching,10419, 9.00-12.00,6,3,3, 07:45, 02:45,, OFFCMP, SEE NOTES, Reissig K, Graduate Students Only; Concurrent with  EDML 286; Location: Off site at various  schools; Variable credits 9-12,MIDDLE--LEVEL--TEACHER--EDUCATION,Spring 2020
EDML 287, Content Literacy in Mid Grades,91729,3,18,7,11, 08:30, 11:30, R, WATERM,539, Stokes T, Restricted to students enrolled in  Department of Education,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2019
EDML 295, ELL Practicum,96175,3,7,4,3, TBA, TBA,, TBA, TBA, Reyes C, Instructor permission required,MIDDLE--LEVEL--TEACHER--EDUCATION,Fall 2016
EDPE 023, Amer Red Cross Emergency Resp,14226,3,30,32,-2, 05:05  TBA, 08:05  TBA, W, LAFAYE  ONLINE, L403  COURSE, Cournoyer III, This course has an online component,PHYSICAL--EDUCATION-PROF,Spring 2020
EDPE 024, Student Athlete Development,90242,1,30,25,5, 10:05, 10:55, T, LAFAYE, L200, Rahill C  Conroy W  Dow L, Student Athlete or Instructor  Permission,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 055, Games Education,91158,3,12,10, 2*XL, 08:30, 09:45, T R, L/L CM,314, Holt B, Degree students even after level  restrictions removed; CDE students  register for EDPE 055 ZRA Course also  meets in Patrick Gym West,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 101, Intro to Sports Management,91656,3,25,29,-4, 04:35, 07:35, T, LAFAYE, L300, Lifschutz L,,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 104, Phys Educ Teaching Experience,95365,4,20,4,16, 08:30  08:15, 09:20  09:30, M F  W, L/L-A  OFFCMP, A101  SEE NOTES, Holt B, Undergrad PE majors with minimum Junior  standing or PBTP; Class meets in  designated school sites on Wednesdays;  Lab fee: $40.00 COurse also meets in  Pat Gym West,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 105, Phys Educ Teaching Experience,15059,4,20,5,15, 08:30  08:15, 09:20  09:30, M F  W, L/L-A  OFFCMP, A162  SEE NOTES, Holt B, Class meets in designated off campus  school sites on Wednesdays; $40.00 lab  fee,PHYSICAL--EDUCATION-PROF,Spring 2020
EDPE 119, Careers in College Athletics,93051,3,29,24,5, TBA, TBA,, ONLINE, COURSE, Balogh K, Open to Degree and CDE students,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 155, Phys Educ in Secondary Schl,94857,4,20,5,15, 08:30  08:15, 09:20  09:30, M F  W, L/L-A  OFFCMP, A162  SEE NOTES, Holt B, Undergrad PE majors with minimum JR  standing or PBTP; Meets in public  schools; Lab fee: $40.00,PHYSICAL--EDUCATION-PROF,Fall 2019
EDPE 166, Kinesiology,95368,3,20,6,14, 03:30, 04:45, M W, PERKIN,107, Vreeland K,,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 167, Exercise Physiology,94859,4,20,11,9, 01:10, 02:00, M W F, TERRIL,207, Connolly D,,PHYSICAL--EDUCATION-PROF,Fall 2019
EDPE 181, Student Teaching,10237,12,15,2,13, TBA, TBA,, TBA, TBA, Holt B, PE Majors or PBTP; Coreq: EDPE 182,PHYSICAL--EDUCATION-PROF,Spring 2020
EDPE 182, Student Teaching Seminar,10238,2,15,2,13, 04:35, 07:35, R, L/L-A, A102, Holt B, PE Majors or PBTP; Coreq: EDPE 181,PHYSICAL--EDUCATION-PROF,Spring 2020
EDPE 200, Personal Training Instructor,11125,3,25,22,3, 01:15, 02:30, T R, PATGYM,217, Reichelt J,,PHYSICAL--EDUCATION-PROF,Spring 2020
EDPE 220, Sport in Society,93237,3,50,44, 6*XL, 05:15  TBA, 07:45  TBA, M, IRA CH  ONLINE, I201  COURSE, Barnard T, Degree students only even after level  restrictions removed; CDE students  register for EDPE 220 ZRA; Course meets  in person on Mondays from 5:15 - 7:45  pm; The remainder of the course held  online,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 230, Philosophy of Coaching,91575,3,27,20, 7*XL, TBA, TBA,, ONLINE, COURSE, Blindow K, Degree students only even after level  restrictions removed; CDE students  register for EDPE 230 OLR,PHYSICAL--EDUCATION-PROF,Fall 2020
EDPE 241, Intro to Sports Management,13014,3,15,12,3, TBA, TBA,, TRAVEL, COURSE, Lifschutz L, Spring Break Travel Course; Travel  Dates: 3/12/18-3/17/18; Location:  Boston; Pre and Post work requirements;  Program Fee: $685.00; Open to both CDE  and Degree students; Instructor  permission required,PHYSICAL--EDUCATION-PROF,Spring 2018
